architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,ac_facing_sources,short_circuit_strength_GVA,trials,p50_thdv_pct,p95_thdv_pct,p99_thdv_pct,mean_thdv_pct,max_individual_p95_pct,dominant_harmonic,exceeds_5pct_guide_p95
Traditional AC,1,0.25,138,3,random,50,1,0.75,600,15.08860944837495,23.740986918572705,27.74266931277866,15.76613458612099,17.591118392239252,11,True
Local SST,1,0.25,138,3,random,50,1,0.75,600,5.586747452470364,9.062861580701025,10.941154768164742,5.882809540882153,7.064687644950915,11,True
Subtransmission DC backbone,1,0.25,138,3,random,50,1,0.75,600,1.710668478044532,2.6622903951929953,3.1331660334005536,1.7722479226995294,2.0719560306171854,11,False
Traditional AC,1,0.25,138,3,random,100,1,0.75,600,16.923351903732232,26.724659206228658,33.493772607277116,17.727570329691194,20.227507048943597,11,True
Local SST,1,0.25,138,3,random,100,1,0.75,600,6.258647344822668,10.349711369618406,11.798185234079178,6.617027626851556,7.9100901110879365,11,True
Subtransmission DC backbone,1,0.25,138,3,random,100,1,0.75,600,1.7223848760075389,2.7720267453722576,3.3333033943592802,1.8099901258162792,2.1398373836060918,11,False
Traditional AC,1,0.25,138,3,partial,5,1,0.75,600,11.797235296328612,18.2966860804673,21.79262809058945,12.345149876352092,13.786313543915128,11,True
Local SST,1,0.25,138,3,partial,5,1,0.75,600,4.345336516341916,7.266041113332084,8.65168113404869,4.639320258565869,5.605509396483812,11,True
Subtransmission DC backbone,1,0.25,138,3,partial,5,1,0.75,600,1.5905147274166769,2.5533537571489546,3.029565012349299,1.6584501419234685,1.9988317153162791,11,False
Traditional AC,1,0.25,138,3,partial,20,1,0.75,600,13.366258617529304,21.106961995349753,23.656666474457314,13.870984414600073,15.67493343508572,11,True
Local SST,1,0.25,138,3,partial,20,1,0.75,600,4.945261402741046,7.900538150426794,9.389784166990486,5.160267850346003,6.066452877715482,11,True
Subtransmission DC backbone,1,0.25,138,3,partial,20,1,0.75,600,1.6391907177851803,2.464293962561585,2.9631845625197344,1.680395202829682,1.9174099953682406,11,False
Traditional AC,1,0.25,138,3,partial,50,1,0.75,600,15.324750927339812,23.599905873182735,29.465407994315576,16.061015271869785,17.94692259064673,11,True
Local SST,1,0.25,138,3,partial,50,1,0.75,600,5.579843412263628,8.99433353518432,10.772785334448143,5.888132274874435,7.066525284525167,11,True
Subtransmission DC backbone,1,0.25,138,3,partial,50,1,0.75,600,1.6577670603250274,2.69682108787729,3.0633554065528434,1.7395074062666689,2.0926628153760927,11,False
Traditional AC,1,0.25,138,3,partial,100,1,0.75,600,17.128927710714223,26.14725939308278,31.595874457876093,17.714338662259724,19.975113994129266,11,True
Local SST,1,0.25,138,3,partial,100,1,0.75,600,6.410426618007334,9.768239566896646,11.74899202616908,6.649498165727986,7.816655010448005,11,True
Subtransmission DC backbone,1,0.25,138,3,partial,100,1,0.75,600,1.733640150601573,2.745366797166285,3.4452053645939626,1.7986775366279495,2.2101572211152827,11,False
Traditional AC,1,0.25,138,3,coherent,5,1,0.75,600,11.645765235359878,18.307905350810454,22.233809897172005,12.218427170118012,13.529548719330478,11,True
Local SST,1,0.25,138,3,coherent,5,1,0.75,600,4.47174295782909,7.306168111463153,8.532294064201484,4.681593699870327,5.646128657703223,11,True
Subtransmission DC backbone,1,0.25,138,3,coherent,5,1,0.75,600,1.5797489222035668,2.5774622198160757,3.0133298701594655,1.6587722168660348,2.003959677491036,11,False
