panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,2.961073825503356,320,640,4.626677852348994
5b,2.9939597315436246,69,138,21.695360373504524
5b,2.9939597315436246,138,276,10.847680186752262
5b,2.9939597315436246,230,460,6.508608112051357
5b,2.9939597315436246,320,640,4.678062080536914
5b,3.026845637583893,69,138,21.93366404046299
5b,3.026845637583893,138,276,10.966832020231495
5b,3.026845637583893,230,460,6.580099212138897
5b,3.026845637583893,320,640,4.729446308724833
5b,3.0597315436241614,69,138,22.17196770742146
5b,3.0597315436241614,138,276,11.08598385371073
5b,3.0597315436241614,230,460,6.651590312226437
5b,3.0597315436241614,320,640,4.780830536912752
5b,3.0926174496644303,69,138,22.410271374379928
5b,3.0926174496644303,138,276,11.205135687189964
5b,3.0926174496644303,230,460,6.723081412313979
5b,3.0926174496644303,320,640,4.832214765100671
5b,3.1255033557046987,69,138,22.648575041338393
5b,3.1255033557046987,138,276,11.324287520669197
5b,3.1255033557046987,230,460,6.794572512401519
5b,3.1255033557046987,320,640,4.883598993288591
5b,3.158389261744967,69,138,22.886878708296862
5b,3.158389261744967,138,276,11.443439354148431
5b,3.158389261744967,230,460,6.866063612489059
5b,3.158389261744967,320,640,4.934983221476511
5b,3.1912751677852356,69,138,23.125182375255328
5b,3.1912751677852356,138,276,11.562591187627664
5b,3.1912751677852356,230,460,6.937554712576599
5b,3.1912751677852356,320,640,4.986367449664431
5b,3.224161073825504,69,138,23.363486042213797
5b,3.224161073825504,138,276,11.681743021106898
5b,3.224161073825504,230,460,7.009045812664139
5b,3.224161073825504,320,640,5.0377516778523495
5b,3.2570469798657724,69,138,23.601789709172262
5b,3.2570469798657724,138,276,11.800894854586131
5b,3.2570469798657724,230,460,7.080536912751679
5b,3.2570469798657724,320,640,5.089135906040269
5b,3.289932885906041,69,138,23.840093376130728
5b,3.289932885906041,138,276,11.920046688065364
5b,3.289932885906041,230,460,7.152028012839219
5b,3.289932885906041,320,640,5.140520134228189
5b,3.3228187919463092,69,138,24.078397043089197
5b,3.3228187919463092,138,276,12.039198521544598
5b,3.3228187919463092,230,460,7.223519112926759
5b,3.3228187919463092,320,640,5.191904362416108
5b,3.3557046979865777,69,138,24.316700710047662
5b,3.3557046979865777,138,276,12.158350355023831
5b,3.3557046979865777,230,460,7.295010213014299
5b,3.3557046979865777,320,640,5.243288590604028
