architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.632911392405063,0.98,1.0,2.0,1085.224984112849,1566.0611130188956,2170.449968225698,1566.0611130188956,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.6835443037974684,0.98,1.0,,1097.0853664528802,,,1097.0853664528802,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.6835443037974684,0.98,1.0,2.0,1097.0853664528802,1292.6582278481012,2194.1707329057604,1292.6582278481012,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.6835443037974684,0.98,1.0,2.0,1097.0853664528802,1583.1765350191022,2194.1707329057604,1583.1765350191022,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.734177215189874,0.98,1.0,,1108.9457487929112,,,1108.9457487929112,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.734177215189874,0.98,1.0,2.0,1108.9457487929112,1306.6329113924053,2217.8914975858224,1306.6329113924053,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.734177215189874,0.98,1.0,2.0,1108.9457487929112,1600.2919570193087,2217.8914975858224,1600.2919570193087,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.784810126582278,0.98,1.0,,1120.8061311329423,,,1120.8061311329423,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.784810126582278,0.98,1.0,2.0,1120.8061311329423,1320.607594936709,2241.6122622658845,1320.607594936709,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.784810126582278,0.98,1.0,2.0,1120.8061311329423,1617.407379019515,2241.6122622658845,1617.407379019515,1.4430750636460155,44.307506364601544,thermal_current_limit,
