scenario,run,h,vh_pct
Traditional AC,55,5,0.6072724669116513
Traditional AC,55,7,0.20711721873346114
Traditional AC,55,11,1.6603300114510442
Traditional AC,55,13,1.22539453287003
Traditional AC,55,17,0.1342156769854313
Traditional AC,55,19,0.37993863416281387
Traditional AC,55,23,0.2917358599054017
Traditional AC,55,25,0.35454290008271816
Traditional AC,55,29,0.2145785063145221
Traditional AC,55,31,0.17097985129167023
Traditional AC,56,5,0.5382749002929427
Traditional AC,56,7,0.6081847704899153
Traditional AC,56,11,0.5958791613277185
Traditional AC,56,13,0.8484785842402173
Traditional AC,56,17,0.10877302552022504
Traditional AC,56,19,0.3639714838524449
Traditional AC,56,23,0.6313730715188469
Traditional AC,56,25,0.3835723048360023
Traditional AC,56,29,0.2115542681291038
Traditional AC,56,31,0.09817051519542232
Traditional AC,57,5,0.4716381340664949
Traditional AC,57,7,0.49074161200160804
Traditional AC,57,11,2.960912109294396
Traditional AC,57,13,0.5128686071946674
Traditional AC,57,17,0.36323046902376227
Traditional AC,57,19,0.18958362159055164
Traditional AC,57,23,0.6551696418542609
Traditional AC,57,25,0.6422001253868755
Traditional AC,57,29,0.19988616265744602
Traditional AC,57,31,0.11100590559617138
Traditional AC,58,5,0.48383335311351805
Traditional AC,58,7,0.4968371344528824
Traditional AC,58,11,3.3015137557264884
Traditional AC,58,13,0.106815042972191
Traditional AC,58,17,0.6413805203883379
Traditional AC,58,19,0.5523068288042348
Traditional AC,58,23,1.0334358992969004
Traditional AC,58,25,0.2920500128990097
Traditional AC,58,29,0.47581963462286586
Traditional AC,58,31,0.19862794735477107
Traditional AC,59,5,0.547213550596376
Traditional AC,59,7,0.1425216269744602
Traditional AC,59,11,0.5616042701614257
Traditional AC,59,13,0.8887726182750714
Traditional AC,59,17,0.3059203248034053
Traditional AC,59,19,0.31781265340341674
Traditional AC,59,23,0.34405032675776515
Traditional AC,59,25,0.21295950245285425
Traditional AC,59,29,0.21051876171353504
Traditional AC,59,31,0.09966116556131412
Traditional AC,60,5,0.1687353226679904
Traditional AC,60,7,0.7631086013821614
Traditional AC,60,11,0.8823542469851159
Traditional AC,60,13,0.18059529809577038
Traditional AC,60,17,0.22520071050555163
Traditional AC,60,19,0.4020037625166454
Traditional AC,60,23,0.5825318090389217
Traditional AC,60,25,0.18513113041024287
Traditional AC,60,29,0.22214464845713666
Traditional AC,60,31,0.15020420064129827
Traditional AC,61,5,1.0650552560853421
Traditional AC,61,7,0.22198700432055915
Traditional AC,61,11,4.19420555090656
Traditional AC,61,13,1.9463751038189785
Traditional AC,61,17,0.33417805372906095
Traditional AC,61,19,0.19477083962000818
Traditional AC,61,23,1.864664509316319
Traditional AC,61,25,0.4716357618831137
Traditional AC,61,29,0.4072396601154548
Traditional AC,61,31,0.23879916692144287
Traditional AC,62,5,0.24927460234231094
Traditional AC,62,7,0.2641863618819133
Traditional AC,62,11,0.7778628049558164
Traditional AC,62,13,1.5367065604563743
Traditional AC,62,17,0.3204650713992759
Traditional AC,62,19,0.09267183931305596
Traditional AC,62,23,0.6731839028621468
Traditional AC,62,25,0.7675189925549386
Traditional AC,62,29,0.11942906374944348
Traditional AC,62,31,0.12372564456178484
Traditional AC,63,5,0.6106740357460947
Traditional AC,63,7,0.5175309410056189
Traditional AC,63,11,1.3497653199293087
Traditional AC,63,13,0.08139912569696466
Traditional AC,63,17,0.18671112014838237
Traditional AC,63,19,0.5131503370129544
Traditional AC,63,23,0.9354221754746385
Traditional AC,63,25,0.3366927958244014
Traditional AC,63,29,0.1916739254640384
Traditional AC,63,31,0.10498999124411842
Traditional AC,64,5,0.1743255979138543
Traditional AC,64,7,0.2154763646163593
Traditional AC,64,11,1.2465455452504806
Traditional AC,64,13,0.5862417086605232
Traditional AC,64,17,0.1950497162975353
Traditional AC,64,19,0.327321704777808
Traditional AC,64,23,0.9853358938395738
Traditional AC,64,25,0.25691520683691643
Traditional AC,64,29,0.16928467725740723
Traditional AC,64,31,0.1139018789240214
Traditional AC,65,5,0.5655034160448855
Traditional AC,65,7,0.22665610756932567
Traditional AC,65,11,3.455727920472137
Traditional AC,65,13,1.1528036489574773
Traditional AC,65,17,0.12808360495364893
Traditional AC,65,19,0.23802355209177065
Traditional AC,65,23,0.5920825414672212
Traditional AC,65,25,0.8883167134207852
Traditional AC,65,29,0.16563364191378277
Traditional AC,65,31,0.09689034268827018
Traditional AC,66,5,0.4036173672214025
Traditional AC,66,7,1.31594285943522
Traditional AC,66,11,1.444057491189725
Traditional AC,66,13,0.6252598770919953
Traditional AC,66,17,0.4318938099239764
Traditional AC,66,19,0.15356958110823243
Traditional AC,66,23,1.157594273055498
Traditional AC,66,25,0.49473124184087197
Traditional AC,66,29,0.15874477303824672
Traditional AC,66,31,0.03453180277521563
Traditional AC,67,5,0.21657951769781725
Traditional AC,67,7,0.3658005300043879
Traditional AC,67,11,0.5141103848376063
