time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
2.02,1.03000446,-0.03185329,150,3
2.04,1.02974399,-0.03908245,150,3
2.06,1.02948798,-0.04642774,150,3
2.08,1.02923186,-0.05387627,150,3
2.1,1.02897195,-0.06141642,150,3
2.12,1.02870543,-0.06903799,150,3
2.14,1.02843034,-0.07673215,150,3
2.16,1.02814555,-0.0844914,150,3
2.18,1.02785063,-0.0923095,150,3
2.2,1.02754579,-0.10018121,150,3
2.22,1.0272317,-0.10810216,150,3
2.24,1.02690941,-0.11606856,150,3
2.26,1.02658021,-0.12407696,150,3
2.28,1.02624549,-0.13212399,150,3
2.3,1.02590671,-0.14020609,150,3
2.32,1.02556525,-0.14831938,150,3
2.34,1.02522243,-0.15645941,150,3
2.36,1.02487945,-0.16462111,150,3
2.38,1.02453741,-0.1727987,150,3
2.4,1.02419729,-0.18098568,150,3
2.42,1.02386004,-0.18917489,150,3
2.44,1.02352654,-0.19735857,150,3
2.46,1.02319772,-0.20552851,150,3
2.48,1.02287453,-0.21367615,150,3
2.5,1.022558,-0.22179278,150,3
2.52,1.02224925,-0.22986966,150,3
2.54,1.02194949,-0.2378982,150,3
2.56,1.02166,-0.24587011,150,3
2.58,1.02138213,-0.25377747,150,3
2.6,1.02111724,-0.26161287,150,3
2.62,1.02086665,-0.26936947,150,3
2.64,1.02063162,-0.27704101,150,3
2.66,1.02041327,-0.28462187,150,3
2.68,1.02021253,-0.29210701,150,3
2.7,1.0200301,-0.299492,150,3
2.72,1.0198664,-0.30677294,150,3
2.74,1.01972155,-0.31394643,150,3
2.76,1.01959536,-0.32100951,150,3
2.78,1.01948729,-0.32795961,150,3
2.8,1.01939652,-0.33479454,150,3
2.82,1.0193219,-0.34151241,150,3
2.84,1.01926204,-0.34811164,150,3
2.86,1.01921532,-0.3545909,150,3
2.88,1.01917996,-0.36094918,150,3
2.9,1.01915405,-0.36718573,150,3
2.92,1.01913562,-0.3733001,150,3
2.94,1.0191227,-0.37929214,150,3
2.96,1.01911336,-0.38516203,150,3
2.98,1.01910575,-0.39091031,150,3
0.0,1.01660454,-0.13451618,150,4
0.02,1.01656852,-0.13620191,150,4
0.04,1.01670801,-0.13734454,150,4
0.06,1.01681083,-0.13807864,150,4
0.08,1.01684617,-0.13858181,150,4
0.1,1.01682941,-0.1389798,150,4
0.12,1.01678109,-0.13934732,150,4
0.14,1.01671722,-0.13972527,150,4
0.16,1.01664852,-0.14013491,150,4
0.18,1.01658159,-0.14058677,150,4
0.2,1.01652022,-0.14108575,150,4
0.22,1.01646632,-0.14163383,150,4
0.24,1.01642061,-0.14223148,150,4
0.26,1.01638305,-0.14287841,150,4
0.28,1.01635317,-0.14357394,150,4
0.3,1.01633025,-0.14431718,150,4
0.32,1.01631347,-0.14510715,150,4
0.34,1.01630196,-0.14594283,150,4
0.36,1.01629492,-0.14682315,150,4
0.38,1.01629159,-0.14774707,150,4
0.4,1.01629128,-0.14871354,150,4
0.42,1.01629342,-0.14972153,150,4
0.44,1.0162975,-0.15077001,150,4
0.46,1.01630309,-0.15185799,150,4
0.48,1.01630985,-0.15298446,150,4
0.5,1.01631747,-0.15414846,150,4
0.52,1.01632573,-0.15534902,150,4
0.54,1.01633442,-0.1565852,150,4
0.56,1.01634339,-0.15785608,150,4
0.58,1.01635251,-0.15916072,150,4
0.6,1.01636168,-0.16049825,150,4
0.62,1.01637081,-0.16186776,150,4
0.64,1.01637983,-0.16326839,150,4
0.66,1.01638868,-0.16469928,150,4
0.68,1.01639732,-0.16615958,150,4
0.7,1.0164057,-0.16764846,150,4
0.72,1.01641378,-0.16916511,150,4
0.74,1.01642154,-0.1707087,150,4
0.76,1.01642896,-0.17227845,150,4
0.78,1.01643601,-0.17387357,150,4
0.8,1.01644267,-0.17549327,150,4
0.82,1.01644893,-0.1771368,150,4
0.84,1.01645478,-0.17880339,150,4
0.86,1.01646021,-0.18049229,150,4
0.88,1.01646523,-0.18220276,150,4
0.9,1.01646984,-0.18393405,150,4
0.92,1.01647403,-0.18568545,150,4
0.94,1.01647782,-0.18745622,150,4
0.96,1.01648122,-0.18924564,150,4
0.98,1.01648425,-0.19105301,150,4
1.0,0.10224176,0.02029028,150,4
1.02,0.09603573,0.17736983,150,4
1.04,0.09359132,0.21213263,150,4
1.06,0.92180008,-0.00963969,150,4
1.08,0.96187685,-0.0818161,150,4
1.1,0.98845837,-0.11024982,150,4
1.12,1.00647662,-0.11838161,150,4
1.14,1.01971297,-0.11682532,150,4
1.16,1.03001763,-0.11085154,150,4
1.18,1.03833426,-0.10304667,150,4
1.2,1.04473439,-0.09474971,150,4
1.22,1.04928703,-0.08649473,150,4
